Host,Memory Usage,CPU Usage,Primary Sent,Primary Received,Primary Speed,Secondary Received,Secondary Sent,Secondary Speed
BR-C147-MJWAD,51.31,45.56,42.58 Kbps,87.83 Kbps,4.00 Mbps,156.72 Kbps,46.30 Kbps,2.00 Mbps
BR-C148-NSKRD,67.78,45.28,39.95 Kbps,67.04 Kbps,2.00 Mbps,61.00 Kbps,34.88 Kbps,5.00 Mbps
BR-C149-BORIE,56.49,46.41,44.23 Kbps,68.11 Kbps,2.00 Mbps,173.85 Kbps,34.96 Kbps,2.00 Mbps
BR-C150-VRCRD,58.42,45.56,41.76 Kbps,67.20 Kbps,2.00 Mbps,188.78 Kbps,49.63 Kbps,2.00 Mbps
BR-C151-PMPGV,54.73,47.49,67.81 Kbps,187.38 Kbps,2.00 Mbps,0.00 Kbps,0.09 Kbps,2.00 Mbps
BR-C152-MURBD,53.12,47.49,36.19 Kbps,107.47 Kbps,5.00 Mbps,109.69 Kbps,44.24 Kbps,15.00 Mbps
BR-C153-KARAD,63.82,46.82,50.79 Kbps,85.23 Kbps,2.00 Mbps,153.64 Kbps,49.13 Kbps,2.00 Mbps
BR-C154-INDBG,59.57,45.63,26.61 Kbps,41.37 Kbps,2.00 Mbps,130.65 Kbps,39.21 Kbps,2.00 Mbps
BR-C155-C83K-RMRBR,76.36 (HIGH),18.68,613.09 Kbps,1.75 Mbps,10.00 Mbps,0.00 Kbps,0.00 Kbps,10.00 Mbps
BR-C156-INDOR,58.38,45.6,34.60 Kbps,83.52 Kbps,2.00 Mbps,104.74 Kbps,38.95 Kbps,2.00 Mbps
BR-C157-YAVAT,56.34,47.92,62.60 Kbps,70.51 Kbps,2.00 Mbps,65.83 Kbps,35.18 Kbps,15.00 Mbps
BR-C158-RD33,70.44,46.2,54.75 Kbps,469.39 Kbps,4.00 Mbps,264.60 Kbps,58.99 Kbps,2.00 Mbps
BR-C159-MTHGN,51.83,52.73,58.79 Kbps,105.54 Kbps,2.00 Mbps,0.41 Kbps,0.24 Kbps,2.00 Mbps
BR-C160-UJJAN,52.48,50.38,33.29 Kbps,35.35 Kbps,2.00 Mbps,118.45 Kbps,49.86 Kbps,2.00 Mbps
BR-C161-THKRL,52.24,50.67,50.43 Kbps,89.03 Kbps,2.00 Mbps,10.98 Kbps,1.95 Kbps,2.00 Mbps
BR-C162-YLHNK,56.06,47.57,81.54 Kbps,170.10 Kbps,2.00 Mbps,0.06 Kbps,0.09 Kbps,2.00 Mbps
BR-C171-KARJT,59.41,45.85,47.38 Kbps,58.46 Kbps,5.00 Mbps,74.24 Kbps,36.68 Kbps,5.00 Mbps
BR-C172-WALNJ,55.33,46.43,42.55 Kbps,76.61 Kbps,2.00 Mbps,231.67 Kbps,83.38 Kbps,10.00 Mbps
BR-C173-ADNGR,57.62,48.18,69.62 Kbps,264.51 Kbps,2.00 Mbps,338.12 Kbps,92.15 Kbps,2.00 Mbps
BR-C174-BRMTI,57.2,47.9,97.27 Kbps,223.91 Kbps,2.00 Mbps,101.75 Kbps,37.74 Kbps,5.00 Mbps
BR-C175-MOSHI,57.42,46.53,48.36 Kbps,77.88 Kbps,2.00 Mbps,198.89 Kbps,58.01 Kbps,10.00 Mbps
BR-C176-PRVRM,70.05,46.76,28.14 Kbps,147.68 Kbps,2.00 Mbps,157.04 Kbps,79.64 Kbps,5.00 Mbps
BR-C177-WAGHL,58.55,46.69,51.04 Kbps,156.78 Kbps,2.00 Mbps,182.86 Kbps,85.40 Kbps,5.00 Mbps
BR-C178-KULGV,54.39,50.52,37.55 Kbps,50.64 Kbps,2.00 Mbps,322.07 Kbps,56.97 Kbps,2.00 Mbps
BR-C181-VASCOD,54.16,46.75,43.51 Kbps,89.84 Kbps,2.00 Mbps,218.61 Kbps,60.49 Kbps,10.00 Mbps
BR-C183-AQUEM,69.56,47.93,44.43 Kbps,87.16 Kbps,5.00 Mbps,88.58 Kbps,45.06 Kbps,5.00 Mbps
BR-C184-CNCONA,61.83,45.84,30.43 Kbps,49.51 Kbps,5.00 Mbps,81.62 Kbps,33.11 Kbps,5.00 Mbps
BR-C185-MRGAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BR-C186-PANAJI,60.62,46.69,77.66 Kbps,137.67 Kbps,5.00 Mbps,201.50 Kbps,38.21 Kbps,5.00 Mbps
BR-C187-PONDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BR-C191-SUBHO,55.18,46.1,41.45 Kbps,66.90 Kbps,2.00 Mbps,188.12 Kbps,52.30 Kbps,2.00 Mbps
BR-C193-KUDAL,53.05,44.95,30.80 Kbps,35.60 Kbps,2.00 Mbps,66.00 Kbps,25.77 Kbps,5.00 Mbps
BR-C194-BANDA,61.66,45.02,26.10 Kbps,25.50 Kbps,2.00 Mbps,60.64 Kbps,27.82 Kbps,5.00 Mbps
BR-C195-DDMRG,58.5,45.97,30.40 Kbps,34.93 Kbps,2.00 Mbps,71.64 Kbps,28.27 Kbps,5.00 Mbps
BR-C196-PDGHT,63.86,51.98,113.66 Kbps,123.38 Kbps,2.00 Mbps,8.74 Kbps,0.15 Kbps,5.00 Mbps
BR-C197-KNKVL,61.5,44.89,21.65 Kbps,31.93 Kbps,2.00 Mbps,54.95 Kbps,34.44 Kbps,5.00 Mbps
BR-C198-SHRDA,51.51,51.71,20.12 Kbps,40.46 Kbps,5.00 Mbps,115.66 Kbps,43.35 Kbps,5.00 Mbps
BR-C199-VGRLA,61.25,45.84,19.89 Kbps,48.47 Kbps,5.00 Mbps,43.39 Kbps,34.91 Kbps,5.00 Mbps
BR-C200-MLVAN,53.67,45.45,29.04 Kbps,79.95 Kbps,2.00 Mbps,41.80 Kbps,36.37 Kbps,5.00 Mbps
DC-THANE-C83K-R1,65.18,30.24,7.86 Mbps,1.42 Mbps,81.00 Mbps,2.24 Mbps,30.79 Mbps,102.00 Mbps
DC-THANE-C83K-R2,65.35,27.9,4.66 Mbps,1.46 Mbps,81.00 Mbps,2.03 Mbps,5.69 Mbps,102.00 Mbps
DR-PUNE-C83K-RTR01,57.18,23.14,923.16 Kbps,4.09 Mbps,51.00 Mbps,8.55 Mbps,1.39 Mbps,102.00 Mbps
DR-PUNE-C83K-RTR02,55.4,22.38,322.41 Kbps,2.55 Mbps,51.00 Mbps,31.31 Mbps,464.46 Kbps,102.00 Mbps
OF-BWDGD-GD,38.72,48.26,54.06 Kbps,253.44 Kbps,20.00 Mbps,287.85 Kbps,93.95 Kbps,5.00 Mbps
OF-C002-MNLKR,56.47,46.45,31.33 Kbps,199.02 Kbps,2.00 Mbps,215.64 Kbps,84.28 Kbps,10.00 Mbps
OF-CALGT-OA,59.22,45.55,24.09 Kbps,28.79 Kbps,5.00 Mbps,17.88 Kbps,19.83 Kbps,5.00 Mbps
OF-DDBTC-TC,55.9,44.89,16.87 Kbps,15.54 Kbps,2.00 Mbps,23.79 Kbps,25.07 Kbps,2.00 Mbps
OF-GHKPR-RO,57.89,46.18,37.14 Kbps,120.65 Kbps,10.00 Mbps,186.20 Kbps,102.35 Kbps,5.00 Mbps
OF-GOA-RO,59.35,47.53,41.56 Kbps,69.93 Kbps,2.00 Mbps,181.82 Kbps,74.44 Kbps,2.00 Mbps
OF-HOUSE-C83K-CORP,79.13 (HIGH),19.91,631.22 Kbps,3.32 Mbps,20.00 Mbps,3.02 Mbps,1.69 Mbps,20.00 Mbps
OF-MAPSA-OA,58.97,46.74,21.67 Kbps,32.30 Kbps,5.00 Mbps,18.55 Kbps,23.44 Kbps,5.00 Mbps
OF-MDGON-OA,58.77,46.98,0.09 Kbps,1.92 Kbps,5.00 Mbps,24.64 Kbps,33.21 Kbps,5.00 Mbps
OF-NASHIK-RO,59.35,47.4,47.91 Kbps,70.49 Kbps,2.00 Mbps,289.18 Kbps,79.63 Kbps,5.00 Mbps
OF-NGNCI-OA,58.3,46.9,29.30 Kbps,20.81 Kbps,5.00 Mbps,0.00 Kbps,0.00 Kbps,2.00 Mbps
OF-PNJIM-OA,59,47.06,19.96 Kbps,35.41 Kbps,5.00 Mbps,20.08 Kbps,25.15 Kbps,5.00 Mbps
OF-PUNE-RO,52.73,47.51,97.64 Kbps,207.10 Kbps,4.00 Mbps,327.04 Kbps,129.40 Kbps,15.00 Mbps
BR-C165-DHRGL,50.92,44.91,0.00 Kbps,0.00 Kbps,2.00 Mbps,129.66 Kbps,73.68 Kbps,2.23 Mbps
BR-C163-SANQM,50.64,45.4,0.00 Kbps,0.00 Kbps,2.00 Mbps,165.69 Kbps,83.00 Kbps,2.00 Mbps
BR-C164-CURHM,47.27,47.03,0.00 Kbps,0.00 Kbps,20.58 Mbps,168.91 Kbps,104.87 Kbps,20.58 Mbps
